comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
현대위아,2.5,4.5,3.0,5.0,4.0,6.0,3.5,5.5
녹십자홀딩스,2.5,4.5,4.0,7.0,3.5,5.5,4.5,7.5
대한유화,4.5,6.5,4.0,6.0,4.5,6.5,4.0,6.0
엘아이지넥스원,2.5,4.5,4.0,7.0,3.5,5.5,4.5,7.5
SKC,4.5,6.5,4.5,7.5,3.5,5.5,3.5,5.5
현대그린푸드,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
SK케미칼,2.5,4.5,2.5,5.5,4.0,6.0,4.0,6.0
현대로템,2.5,4.5,2.5,6.5,4.5,6.5,3.5,5.5
현대홈쇼핑,4.5,6.5,4.5,7.5,4.5,6.5,4.5,7.5
풍산,2.5,4.5,2.5,5.5,3.5,5.5,3.5,5.5
영원무역,2.5,4.5,2.5,4.5,3.5,5.5,4.5,7.5
씨제이씨지브이,2.5,4.5,2.5,5.5,4.0,6.0,3.0,5.0
이노션,2.5,4.5,3.0,7.0,3.5,5.5,3.0,5.0
태광산업,4.5,6.5,4.5,6.5,3.5,5.5,4.5,6.5
한국콜마,2.5,4.5,3.0,6.0,4.0,6.0,4.5,6.5
쌍용양회공업,2.5,4.5,4.5,6.5,3.5,7.5,4.5,6.5
넥센타이어,2.5,4.5,3.5,5.5,4.5,6.5,3.5,5.5
동원시스템즈,2.5,4.5,3.0,5.0,4.0,6.0,4.0,6.0
대웅제약,2.5,4.5,3.5,6.5,3.5,5.5,3.5,5.5
현대엘리베이터,2.5,5.5,4.5,7.5,3.5,5.5,3.5,5.5
SPC삼립,2.5,4.5,3.0,5.0,3.5,5.5,4.0,6.0
쿠쿠전자,2.5,4.5,3.0,8.0,3.0,5.0,3.0,5.0
LG상사,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
세아베스틸,2.5,5.5,4.0,6.0,4.5,7.5,3.5,5.5
동국제강,2.5,4.5,4.5,6.5,4.5,6.5,4.0,6.0
코스맥스,4.5,6.5,3.0,6.0,4.0,6.0,4.5,7.5
후성,2.5,4.5,2.5,4.5,4.0,6.0,4.0,6.0
롯데정밀화학,2.5,4.5,4.5,7.5,4.0,6.0,4.0,6.0
락앤락,4.5,6.5,2.5,4.5,4.5,6.5,3.5,7.5
종근당,2.5,4.5,4.0,8.0,3.5,5.5,4.0,6.0
한세실업,2.5,4.5,2.5,4.5,4.0,6.0,3.5,5.5
휴켐스,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
부광약품,2.5,4.5,2.5,4.5,4.5,6.5,4.0,6.0
삼양사,2.5,4.5,4.5,7.5,3.5,5.5,4.5,7.5
한일시멘트,2.5,4.5,3.0,6.0,3.0,5.0,3.0,5.0
AK홀딩스,4.5,7.5,3.0,8.0,3.5,5.5,3.5,5.5
한솔케미칼,3.5,5.5,4.0,7.0,4.5,6.5,3.5,6.5
삼양홀딩스,4.5,7.5,4.0,6.0,4.5,7.5,4.5,7.5
롯데푸드,2.5,4.5,3.0,5.0,3.5,5.5,3.5,5.5
엘지하우시스,2.5,4.5,3.0,6.0,4.5,6.5,3.0,5.0
JW중외제약,4.5,7.5,4.5,6.5,4.5,6.5,4.5,6.5
금호타이어,3.0,5.0,3.0,7.0,3.0,5.0,4.0,7.0
한섬,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
한국단자공업,2.5,4.5,4.0,8.0,3.5,5.5,4.0,6.0
LF,2.5,4.5,4.0,8.0,3.0,5.0,3.0,5.0
쌍용자동차,4.0,6.0,4.0,6.0,3.5,5.5,3.5,5.5
동원F&B,2.5,4.5,2.5,4.5,3.0,5.0,3.0,5.0
동아쏘시오홀딩스,2.5,4.5,4.0,6.0,3.5,5.5,3.5,5.5
대교,2.5,4.5,2.5,4.5,3.5,5.5,3.0,5.0
한올바이오파마,4.5,6.5,4.0,6.0,4.0,6.0,4.5,6.5
